site,core,substrate,activity.nM.hr
10,2,bD,0.006660212
14,2,bD,0.008762865
14,2,bD,0.016086664
14,2,bD,0.010741661
19,2,bD,0.006891847
19,2,bD,0.007008004
19,2,bD,0.00859579
8,3,bD,0.00644463
8,3,bD,0.006697623
8,3,bD,0.006435179
10,3,bD,0.011212508
10,3,bD,0.009735573
10,3,bD,0.011860981
14,3,bD,0.012006782
14,3,bD,0.008060772
14,3,bD,0.008739962
19,3,bD,0.005494149
19,3,bD,0.005331492
19,3,bD,0.005147268
8,1,cello,0.002191761
8,1,cello,0.002310202
8,1,cello,0.002335109
10,1,cello,0.002678822
10,1,cello,0.003491669
10,1,cello,0.003128674
14,1,cello,0.00675742
14,1,cello,0.006410659
14,1,cello,0.006933179
19,1,cello,0.002496216
19,1,cello,0.00205467
19,1,cello,0.001559426
8,2,cello,0.001683909
8,2,cello,0.00186676
8,2,cello,0.002283426
10,2,cello,0.002678822
10,2,cello,0.003491669
10,2,cello,0.003128674
14,2,cello,0.00337665
14,2,cello,0.004002792
14,2,cello,0.003792085
19,2,cello,0.001046392
19,2,cello,0.000537298
19,2,cello,0.000521898
8,3,cello,0.004542843
8,3,cello,0.004027406
8,3,cello,0.0026951
10,3,cello,0.009937543
10,3,cello,0.000763705
10,3,cello,0.001354003
14,3,cello,0.00309831
14,3,cello,0.001952736
14,3,cello,0.00345114
19,3,cello,0.002045016
19,3,cello,-0.000689465
19,3,cello,0.001302279
8,1,xylo,0.003890238
8,1,xylo,0.003683594
8,1,xylo,0.002879079
10,1,xylo,0.006378444
10,1,xylo,0.00721342
10,1,xylo,0.005360702
14,1,xylo,0.01915211
14,1,xylo,0.018736736
14,1,xylo,0.022046936
19,1,xylo,0.011016032
19,1,xylo,0.010535197
19,1,xylo,0.011282983
8,2,xylo,0.011036125
8,2,xylo,0.005138936
8,2,xylo,0.003517164
10,2,xylo,0.006378444
10,2,xylo,0.00721342
10,2,xylo,0.005360702
14,2,xylo,0.015582922
14,2,xylo,0.018361253
14,2,xylo,0.015669616
19,2,xylo,0.012819177
19,2,xylo,0.012210839
19,2,xylo,0.012335648
8,3,xylo,0.005659407
8,3,xylo,0.00497434
8,3,xylo,0.004113095
10,3,xylo,0.010780145
10,3,xylo,0.01052007
10,3,xylo,0.010069156
14,3,xylo,0.018241924
14,3,xylo,0.017549976
14,3,xylo,0.019500143
19,3,xylo,0.015956708
19,3,xylo,0.016072177
19,3,xylo,0.015655163
8,1,NAG,0.004088618
8,1,NAG,0.005478427
8,1,NAG,0.005479839
10,1,NAG,0.007287685
10,1,NAG,0.007083905
10,1,NAG,0.006548952
14,1,NAG,0.036932537
14,1,NAG,0.028275671
14,1,NAG,0.020949027
19,1,NAG,0.008149741
19,1,NAG,0.006405563
19,1,NAG,0.010582752
8,2,NAG,0.003787223
8,2,NAG,0.003996924
8,2,NAG,0.004009635
10,2,NAG,0.007287685
10,2,NAG,0.007083905
10,2,NAG,0.006548952
14,2,NAG,0.015432509
14,2,NAG,0.011393538
14,2,NAG,0.011618395
19,2,NAG,0.008927862
19,2,NAG,0.009962457
19,2,NAG,0.006154493
8,3,NAG,0.005902936
8,3,NAG,0.006586256
8,3,NAG,0.007946133
10,3,NAG,0.012309795
10,3,NAG,0.011562542
10,3,NAG,0.013676959
14,3,NAG,0.008716373
14,3,NAG,0.00910026
14,3,NAG,0.012558432
19,3,NAG,0.005114391
19,3,NAG,0.003993397
19,3,NAG,0.004424865
